鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
汐止區,房地(土地+建物),新北市汐止區龍安路28巷1~50號,0.0,商,,,10211,土地1建物1車位0,十九層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860703,41.83,1,0,1,有,有,有,10500,251,,0.0,0
汐止區,房地(土地+建物),新北市汐止區連興街51~100號,0.0,商,,,10212,土地1建物1車位0,十六層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850814,83.02,2,2,1,有,有,無,14500,175,,0.0,0
汐止區,房地(土地+建物),新北市汐止區樟樹二路1~50號,0.0,工,,,10212,土地2建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700426,26.0,1,0,1,有,無,有,11000,423,,0.0,0
淡水區,建物,新北市淡水區八勢一街1~50號,0.0,,,,10212,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930416,91.39,2,2,1,有,有,有,15000,164,,0.0,0
汐止區,房地(土地+建物),新北市汐止區建成路56巷51~100號,7.04,商,,,10211,土地2建物1車位0,一層,23,店面(店鋪),商業用,鋼筋混凝土造,0871128,76.51,0,0,0,無,有,無,15000,196,,0.0,0
汐止區,建物,新北市汐止區東勢街51~100號,0.0,,,,10211,土地0建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810826,239.33,3,2,2,有,有,有,40000,167,坡道平面,0.0,0
汐止區,房地(土地+建物),新北市汐止區連興街51~100號,0.0,商,,,10212,土地1建物1車位0,二層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850814,85.77,2,2,1,有,有,無,14000,163,,0.0,0
汐止區,房地(土地+建物),新北市汐止區龍安路28巷1~50號,0.0,商,,,10212,土地1建物1車位0,二十四層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860703,41.86,1,0,1,有,有,有,10000,239,,0.0,0
汐止區,房地(土地+建物),新北市汐止區福德一路1~50號,2819.52,住,,,10211,土地1建物1車位0,一層,14,店面(店鋪),住商用,鋼筋混凝土造,0960212,101.66,0,0,0,無,無,無,18000,177,,0.0,0
汐止區,房地(土地+建物),新北市汐止區新臺五路二段151~200號,3904.89,住,,,10212,土地2建物1車位0,十一層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0851230,33.37,0,1,1,有,有,有,8500,255,,0.0,0
林口區,房地(土地+建物),新北市林口區文化二路一段101~150號,23.47,住,,,10211,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840224,142.15,3,2,1,有,無,無,17000,120,,0.0,0
新莊區,房地(土地+建物),新北市新莊區中正路301~350號,4.46,住,,,10211,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840819,36.57,1,0,1,有,無,有,10000,273,,0.0,0
新莊區,房地(土地+建物),新北市新莊區中港路501~550號,8.09,住,,,10211,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840516,66.68,2,2,1,有,有,有,15250,229,,0.0,0
三重區,房地(土地+建物),新北市三重區成功路101~150號,1601.19,住,,,10212,土地1建物1車位0,十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860203,17.71,1,1,1,有,有,有,9000,508,,0.0,0
中和區,房地(土地+建物),新北市中和區捷運路51~100號,28.42,住,,,10211,土地1建物1車位0,六層,19,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1000415,42.1,0,0,0,無,無,有,15000,356,,0.0,0
永和區,建物,新北市永和區福和路101~150號,0.0,商,,,10211,土地0建物2車位0,見其他登記事項,11,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0780223,518.05,0,0,0,無,無,無,240000,463,,0.0,0
土城區,房地(土地+建物),新北市土城區裕民路251~300號,3.37,住,,,10212,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831130,29.44,1,1,1,有,有,有,7500,255,,0.0,0
板橋區,房地(土地+建物),新北市板橋區南雅西路二段151~200號,216.0,住,,,10211,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0631015,87.4,0,0,0,無,無,無,18000,206,,0.0,0
三重區,房地(土地+建物),新北市三重區三信路101~150號,49.39,住,,,10211,土地1建物1車位0,一層,9,店面(店鋪),商業用,鋼筋混凝土造,0980223,162.08,0,0,0,無,無,無,63000,389,,0.0,0
三峽區,房地(土地+建物),新北市三峽區國光街351~400號,18.8,住,,,10212,土地1建物1車位0,一層,7,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0871022,102.47,0,0,0,無,有,無,31500,307,,0.0,0
八里區,房地(土地+建物)+車位,新北市八里區龍米路一段151~200號,10183.08,住,,,10212,土地1建物1車位1,十三層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941205,77.78,1,1,1,有,有,無,22000,283,升降機械,0.0,0
永和區,房地(土地+建物),新北市永和區福和路151~200號,7.7,商,,,10211,土地1建物1車位0,一層,11,辦公商業大樓,商業用,鋼筋混凝土造,0850213,103.68,0,0,0,無,無,有,135000,1302,,0.0,0
淡水區,建物,新北市淡水區民權路51~100號,0.0,住,,,10211,土地0建物1車位0,二十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850203,94.85,3,2,1,有,有,有,17500,185,,0.0,0
永和區,建物,新北市永和區環河東路四段1~50號,0.0,住,,,10211,土地0建物1車位1,二十四層,29,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0891219,231.34,4,2,2,有,有,有,42000,182,坡道平面,40.48,0
汐止區,房地(土地+建物),新北市汐止區新臺五路一段101~150號,99.33,工,,,10212,土地1建物1車位0,九層,26,辦公商業大樓,工業用,鋼造,0831222,641.56,0,0,0,無,有,無,105588,165,,0.0,0
汐止區,房地(土地+建物),新北市汐止區大同路二段251~300號,6.01,住,,,10211,土地1建物1車位0,二十四層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223,45.4,1,1,1,有,有,無,17000,374,,0.0,0
汐止區,車位,新北市汐止區大同路二段201~250號,13.1,住,,,10211,土地0建物0車位1,,29,其他,住家用,鋼筋混凝土造,1001223,70.14,0,0,0,有,有,無,2500,,坡道平面,19.76,2500
汐止區,房地(土地+建物),新北市汐止區大同路二段251~300號,5.01,住,,,10211,土地1建物1車位0,十一層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223,37.25,1,1,1,有,無,有,17000,456,,0.0,0
汐止區,房地(土地+建物),新北市汐止區251~300號,11.9,住,,,10211,土地1建物1車位0,十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223,73.39,3,2,2,有,有,無,24000,327,,0.0,0
五股區,房地(土地+建物),新北市五股區五權七路1~50號,767.5,,工業區,丁種建築用地,10211,土地1建物1車位0,見其他登記事項,4,廠辦,見其他登記事項,鋼筋混凝土造,0810313,2520.68,0,0,0,無,無,無,520000,206,,0.0,0
