鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
士林區,建物,臺北市士林區德行西路1~50號,0.0,工,,,10211,土地0建物1車位0,八層,13,廠辦,見其他登記事項,鋼筋混凝土造,0970502,51.279999999999994,0,0,0,無,無,無,27000,527,,0.0,0
士林區,建物,臺北市士林區忠誠路二段151~200號,0.0,住,,,10211,土地0建物1車位1,十八層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0841103,406.68,2,2,2,有,有,有,127200,313,坡道平面,0.0,0
士林區,房地(土地+建物),臺北市士林區中山北路七段51~100號,16.57,住,,,10211,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710827,78.0,2,2,1,有,無,有,26000,333,,0.0,0
文山區,建物,臺北市文山區政大三街1~50號,0.0,住,,,10211,土地0建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0950724,90.05,1,1,1,有,有,有,18000,200,坡道平面,32.44,0
北投區,建物,臺北市北投區文林北路94巷1~50號,0.0,住,,,10211,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991115,271.83,4,2,2,有,有,有,85000,313,坡道平面,0.0,0
大安區,房地(土地+建物)+車位,臺北市大安區安和路二段51~100號,22.73,住,,,10209,土地1建物1車位1,十層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780810,189.94,4,2,3,有,有,有,80000,421,坡道平面,0.0,0
士林區,建物,臺北市士林區中山北路六段405巷51~100號,0.0,住,,,10211,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1011129,97.34,2,1,2,有,有,有,43000,442,,0.0,0
士林區,建物,臺北市士林區天母東路1~50號,0.0,住,,,10211,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0751017,163.31,3,2,2,有,有,有,60000,367,,0.0,0
大安區,建物,臺北市大安區基隆路二段151~200號,0.0,商,,,10211,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980109,36.43,1,1,1,有,有,無,26000,714,,0.0,0
大同區,建物,臺北市大同區市民大道一段201~250號,0.0,其他,,,10211,土地0建物1車位0,十四層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,91.13,2,1,1,有,有,有,49000,538,,0.0,0
大同區,建物,臺北市大同區南京西路201~250號,0.0,商,,,10211,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961101,173.67,3,2,2,有,有,有,55000,317,,0.0,0
中正區,建物,臺北市中正區懷寧街51~100號,0.0,商,,,10211,土地0建物2車位0,七層,9,辦公商業大樓,,鋼筋混凝土造,,152.26000000000002,2,1,2,有,有,有,46000,302,,0.0,0
中正區,建物,臺北市中正區杭州北路1~50號,0.0,住,,,10211,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721122,72.21000000000001,2,1,1,有,有,無,25000,346,,0.0,0
中正區,建物,臺北市中正區忠孝東路一段151~200號,0.0,住,,,10211,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,加強磚造,,81.92,1,1,1,有,無,無,35500,433,,0.0,0
大同區,房地(土地+建物),臺北市大同區南京西路51~100號,15.19,住,,,10212,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,125.62,2,2,2,有,有,有,59000,470,,0.0,0
松山區,建物,臺北市松山區南京東路四段101~150號,0.0,商,,,10211,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0990831,137.62,3,2,2,有,有,有,65000,472,,0.0,0
松山區,建物,臺北市松山區敦化北路145巷1~50號,0.0,住,,,10212,土地0建物1車位0,一層,6,店面(店鋪),住家用,鋼筋混凝土造,0631001,76.75,1,0,1,有,無,有,45000,586,,0.0,0
南港區,建物,臺北市南港區重陽路39巷1~50號,0.0,住,,,10211,土地0建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970108,168.68,3,2,2,有,有,有,45000,267,坡道平面,36.55,0
南港區,建物,臺北市南港區八德路四段851~900號,0.0,商,,,10111,土地0建物1車位0,一層,16,辦公商業大樓,商業用,鋼筋混凝土造,0841219,48.76,0,0,0,無,有,無,15000,308,,0.0,0
松山區,建物,臺北市松山區復興北路1~50號,0.0,住,,,10211,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670817,164.22,2,1,2,有,有,無,45000,274,,0.0,0
松山區,建物,臺北市松山區南京東路四段1~50號,0.0,商,,,10211,土地0建物1車位0,五層,9,辦公商業大樓,住家用,鋼筋混凝土造,0630729,144.11,4,1,2,有,有,無,45000,312,,0.0,0
信義區,建物,臺北市信義區忠孝東路五段551~600號,0.0,住,,,10212,土地0建物1車位0,七層,15,辦公商業大樓,商業用,鋼筋混凝土造,0801120,456.38,0,0,0,無,有,無,160000,351,,0.0,0
