鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
苓雅區,車位,高雄市苓雅區新光路62巷1~50號,0.0,商,,,10212,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1200,,坡道平面,12.67,1200
苓雅區,車位,高雄市苓雅區新光路62巷1~50號,0.0,商,,,10211,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1500,,坡道平面,12.65,1500
苓雅區,車位,高雄市苓雅區新光路62巷1~50號,0.0,商,,,10212,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,14.65,2000
苓雅區,建物,高雄市苓雅區光明街51~100號,0.0,,,,10211,土地0建物1車位0,一層,15,店面(店鋪),商業用,鋼筋混凝土造,0960515,245.75,0,0,0,無,無,有,26000,106,,0.0,0
新興區,房地(土地+建物),高雄市新興區文化路51~100號,248.0,其他,,,10212,土地1建物1車位0,全,3,透天厝,,加強磚造,0620919,112.1,0,0,0,無,無,有,100000,892,,0.0,0
鼓山區,建物,高雄市鼓山區美術北三路201~250號,0.0,住,,,10211,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970425,142.19,3,2,2,有,有,有,20000,141,,0.0,0
前鎮區,建物,高雄市前鎮區新光路1~50號,3240.0,住,,,10211,土地0建物1車位0,三十六層,37,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0880209,123.01,3,2,2,有,有,有,15000,122,,0.0,0
小港區,房地(土地+建物)+車位,高雄市小港區桂義街251~300號,21.5,住,,,10212,土地1建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810807,130.95,3,2,2,有,無,有,10000,76,坡道平面,0.0,0
鳥松區,房地(土地+建物),高雄市鳥松區本館路351~400號,446.0,商,,,10212,土地1建物1車位0,見其他登記事項,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,1020613,644.97,0,0,0,無,無,無,178800,277,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區智群路51~100號,65.99,商,,,10211,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0940420,173.07,4,2,3,有,無,有,20000,116,,0.0,0
鼓山區,建物,高雄市鼓山區大順一路1041巷1~50號,0.0,住,,,10211,土地0建物1車位0,十八層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840707,50.36,1,1,1,有,有,有,10000,199,,0.0,0
苓雅區,建物,高雄市苓雅區中華四路101~150號,0.0,住,,,10211,土地0建物1車位0,四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830910,107.63,3,2,2,有,有,有,8500,79,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區北平路201~250號,9.76,其他,,,10212,土地1建物1車位0,二層,6,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0700120,89.4,0,0,0,無,無,無,10000,112,,0.0,0
鳳山區,建物,高雄市鳳山區王生明路1~50號,0.0,住,,,10211,土地0建物1車位0,全,4,透天厝,見使用執照,鋼筋混凝土造,0851001,171.53,2,2,2,有,無,無,12000,70,,0.0,0
三民區,建物,高雄市三民區鼎仁路1~50號,0.0,住,,,10211,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0721024,101.6,3,2,1,有,無,無,7000,69,,0.0,0
左營區,房地(土地+建物),高雄市左營區博愛二路401~450號,143.33,住,,,10211,土地1建物1車位0,見其他登記事項,26,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0870217,817.99,0,0,0,無,無,有,150000,183,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區壽民路1~50號,37.14,住,,,10212,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0720813,92.11,3,2,2,有,無,有,7000,76,,0.0,0
左營區,房地(土地+建物),高雄市左營區孟子路601~650號,27.53,住,,,10212,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1001003,218.69,0,0,0,無,有,無,68000,311,,0.0,0
左營區,房地(土地+建物),高雄市左營區重惠街201~250號,16.52,住,,,10212,土地1建物1車位0,見其他登記事項,10,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0831105,103.25999999999999,2,2,2,有,有,無,15000,145,,0.0,0
左營區,房地(土地+建物)+車位,高雄市左營區文瑞路1~50號,23.6,住,,,10211,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0880616,149.18,3,2,2,有,有,有,16000,107,坡道平面,27.22,0
左營區,建物,高雄市左營區明華一路251~300號,0.0,住,,,10211,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,見使用執照,0890623,197.96,4,2,2,有,有,有,23000,116,,0.0,0
三民區,房地(土地+建物)+車位,高雄市三民區建武路201~250號,15.72,商,,,10212,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0790322,157.09,4,2,2,有,有,有,13500,86,坡道機械,0.0,0
三民區,房地(土地+建物),高雄市三民區自由一路51~100號,270.0,其他,,,10212,土地1建物1車位0,全,2,透天厝,商業用,見其他登記事項,1001205,304.08,0,0,0,無,無,無,210000,691,,0.0,0
仁武區,建物,高雄市仁武區永和二街1~50號,0.0,住,,,10211,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0721125,104.99,4,2,2,有,無,無,7500,71,,0.0,0
苓雅區,房地(土地+建物),高雄市苓雅區正義路3巷12弄1~50號,57.0,住,,,10212,土地1建物1車位0,全,2,透天厝,,加強磚造,0680123,65.42,4,2,1,有,無,有,11000,168,,0.0,0
苓雅區,車位,高雄市苓雅區新光路62巷1~50號,0.0,商,,,10212,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1500,,坡道平面,12.67,1500
苓雅區,車位,高雄市苓雅區新光路62巷1~50號,0.0,商,,,10212,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1500,,坡道平面,12.67,1500
苓雅區,建物,高雄市苓雅區凱旋三路398巷1~50號,0.0,住,,,10212,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0590716,74.52,3,1,1,有,無,有,6000,81,,0.0,0
鼓山區,建物,高雄市鼓山區博愛二路301~350號,0.0,住,,,10212,土地0建物1車位0,一層,1,店面(店鋪),商業用,見其他登記事項,0920818,712.58,0,0,0,無,無,無,250000,351,,0.0,0
鼓山區,建物,高雄市鼓山區文忠路101~150號,0.0,住,,,10211,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020527,75.73,2,1,1,有,有,有,15500,205,,0.0,0
前鎮區,房地(土地+建物),高雄市前鎮區廣西路451~500號,83.0,住,,,10212,土地1建物1車位0,一層,5,店面(店鋪),,鋼筋混凝土造,0751001,95.08,0,0,0,無,無,無,24000,252,,0.0,0
左營區,房地(土地+建物)+車位,高雄市左營區文自路387巷1~50號,26.9,住,,,10212,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830228,125.26,3,2,2,有,有,無,12000,98,坡道平面,23.14,2000
